request_date,total_requests,closed_requests,open_requests
2026-05-19,439,159,280
2026-05-18,11205,4958,6247
2026-05-17,11204,6498,4706
2026-05-16,10710,6490,4220
2026-05-15,10893,5512,5381
2026-05-14,10110,5061,5049
2026-05-13,10610,6344,4266
